Station Name,Lat,Lon,Max,Min,Avg
Perth,48.71833,-99.30675,34.3281,15.557800000000002,24.943199999999997
Pillsbury,47.22536,-97.79121,37.461133333333336,19.648833333333336,28.555233333333334
Pine Point,47.012722,-95.371508,39.253033333333335,20.6436,29.948500000000003
Plaza,47.86224,-101.95765,34.515433333333334,13.5472,24.031566666666667
Prosper,47.00168,-97.11556,38.0835,19.9167,29.0004
Rat Lake,48.196956,-102.698603,33.4542,13.975066666666667,23.71486666666667
Ray,48.40095,-103.16926,32.92293333333333,14.408800000000001,23.666066666666666
Redstone,48.82451,-104.84179,32.81406666666667,14.154333333333334,23.4844
Rice,45.79384,-94.26182,43.10456666666666,24.744966666666667,33.925
Robinson,47.173045,-99.798071,35.99036666666667,15.7257,25.8582
Rolla,48.84299,-99.61409,34.100699999999996,14.9331,24.517133333333334
Roseau,48.68518,-95.73438,36.671866666666666,19.730700000000002,28.2015
Ross,48.31277,-102.45039,33.1056,13.317766666666667,23.211866666666666
Rugby,48.35444,-100.06363,35.89073333333333,14.1029,24.997
Sabin,46.79741,-96.61182,38.87193333333333,21.3125,30.092499999999998
Sawyer,47.97811,-101.08942,35.8439,17.8954,26.8698
Sidney,47.72983,-104.15242,35.42316666666667,15.5119,25.467666666666666
St. Thomas,48.60123,-97.49328,36.62263333333333,19.0814,27.852333333333334
Staples,46.38774,-94.80874,41.321299999999994,23.290233333333333,32.306066666666666
Steele,46.89402,-99.99273,35.74896666666667,15.1265,25.437966666666668
Stephen,48.45674,-96.85367,35.9836,19.071933333333334,27.528000000000002
Stirum,46.223509,-97.871611,38.99783333333333,19.3807,29.189533333333333
Streeter,46.71797,-99.46081,36.5596,18.0455,27.3028
Tappen,46.88554,-99.575051,35.8599,16.48633333333333,26.173333333333336
Turtle Lake,47.56793,-100.91529,35.467533333333336,16.0366,25.7521
Ulen,47.05044,-96.10842,37.957366666666665,20.698033333333335,29.32786666666667
Wadena,46.44831,-95.21421,40.853766666666665,22.308633333333333,31.581466666666664
Wahpeton,46.355071,-96.665847,39.952400000000004,21.6164,30.784633333333332
Wales,48.891395,-98.628419,33.65846666666667,14.2712,23.965033333333334
Warren,48.13689,-96.83904,36.18606666666666,18.424966666666666,27.305733333333333
Watford City,47.81043,-103.23218,34.964600000000004,15.9817,25.473366666666667
Waukon,47.325813,-96.132579,38.157199999999996,22.0287,30.09326666666667
Webster,48.31321,-98.87691,35.4837,15.289766666666667,25.38696666666667
Werner,47.44446,-102.50014,35.58376666666666,13.7108,24.647366666666667
Westport,45.71509,-95.17179,41.63863333333334,23.096066666666665,32.367666666666665
Williams,48.858419,-94.980798,38.1394,21.838933333333333,29.98936666666667
Williston,48.13308,-103.73859,34.021,15.805933333333334,24.913633333333333
Wishek,46.26033,-99.66585,36.858200000000004,17.73753333333333,27.298133333333332
Wolford,48.51603,-99.62441,34.788066666666666,14.209566666666667,24.4991
Wolverton,46.56545,-96.68726,39.603100000000005,20.8588,30.231166666666663
Zeeland,46.01351,-99.68768,37.60113333333333,13.445066666666666,25.523366666666668
